ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1880/9/28,26.1,8,1
1880/9/29,25.1,8,1
1880/9/30,23.5,8,1
1880/10/1,20.6,8,1
1880/10/2,19.6,8,1
1880/10/3,23.4,8,1
1880/10/4,25.1,8,1
1880/10/5,25.6,8,1
1880/10/6,16.5,8,1
1880/10/7,21.4,8,1
1880/10/8,21.8,8,1
1880/10/9,23.8,8,1
1880/10/10,25.8,8,1
1880/10/11,24.5,8,1
1880/10/12,17.7,8,1
1880/10/13,19.1,8,1
1880/10/14,23.4,8,1
1880/10/15,22.8,8,1
1880/10/16,22.8,8,1
1880/10/17,22.3,8,1
1880/10/18,23.3,8,1
1880/10/19,22.8,8,1
1880/10/20,18.9,8,1
1880/10/21,17.0,8,1
1880/10/22,20.0,8,1
1880/10/23,18.8,8,1
1880/10/24,22.3,8,1
1880/10/25,23.5,8,1
1880/10/26,22.4,8,1
1880/10/27,23.1,8,1
1880/10/28,20.7,8,1
1880/10/29,22.2,8,1
1880/10/30,20.9,8,1
1880/10/31,16.9,8,1
1880/11/1,18.1,8,1
1880/11/2,20.2,8,1
1880/11/3,22.1,8,1
1880/11/4,20.6,8,1
1880/11/5,21.7,8,1
1880/11/6,14.3,8,1
1880/11/7,19.4,8,1
1880/11/8,19.3,8,1
1880/11/9,17.6,8,1
1880/11/10,17.4,8,1
1880/11/11,16.2,8,1
1880/11/12,11.2,8,1
1880/11/13,9.7,8,1
1880/11/14,16.6,8,1
1880/11/15,19.9,8,1
1880/11/16,17.1,8,1
1880/11/17,16.8,8,1
1880/11/18,17.9,8,1
1880/11/19,18.4,8,1
1880/11/20,14.4,8,1
1880/11/21,17.2,8,1
1880/11/22,16.9,8,1
1880/11/23,9.4,8,1
1880/11/24,17.4,8,1
1880/11/25,15.5,8,1
1880/11/26,18.3,8,1
1880/11/27,16.1,8,1
1880/11/28,13.9,8,1
1880/11/29,12.9,8,1
1880/11/30,16.6,8,1
1880/12/1,15.0,8,1
1880/12/2,16.0,8,1
1880/12/3,13.3,8,1
1880/12/4,13.3,8,1
1880/12/5,10.9,8,1
1880/12/6,10.9,8,1
1880/12/7,11.7,8,1
1880/12/8,11.1,8,1
1880/12/9,13.4,8,1
1880/12/10,11.3,8,1
1880/12/11,13.9,8,1
1880/12/12,13.8,8,1
1880/12/13,14.2,8,1
1880/12/14,12.8,8,1
1880/12/15,8.7,8,1
1880/12/16,9.1,8,1
1880/12/17,13.2,8,1
1880/12/18,11.2,8,1
1880/12/19,11.2,8,1
1880/12/20,10.2,8,1
1880/12/21,10.4,8,1
1880/12/22,11.9,8,1
1880/12/23,8.6,8,1
1880/12/24,5.4,8,1
1880/12/25,7.7,8,1
1880/12/26,10.0,8,1
1880/12/27,10.2,8,1
1880/12/28,6.7,8,1
1880/12/29,8.4,8,1
1880/12/30,9.8,8,1
1880/12/31,9.0,8,1
1881/1/1,8.7,8,1
1881/1/2,10.0,8,1
1881/1/3,10.4,8,1
1881/1/4,10.2,8,1
1881/1/5,14.2,8,1
1881/1/6,11.8,8,1
1881/1/7,8.1,8,1
1881/1/8,9.7,8,1
1881/1/9,11.8,8,1
1881/1/10,11.3,8,1
1881/1/11,7.6,8,1
1881/1/12,8.4,8,1
